id,name,lat,lon,cuisine,avg_rating,prep_capacity,manager_contact
1901,Madras Kitchen,12.986798,77.596623,Chinese,4.3,10,+91-984217674
1902,Curry Treats,12.976225,77.589989,Beverages,4.4,12,
1903,Garden Kitchen,12.983093,77.592515,Bakery & Desserts,4.9,20,+91-711372988
1904,Fresh Eats,12.976883,77.608116,Chinese,3.1,20,+91-841970207
1905,Namma Treats,12.97543,77.587544,North Indian,3.2,6,+91-932518072
1906,Tandoor Bistro,12.96343,77.580752,Biryani,4.5,8,+91-740365698
1907,Daily Plate,12.987258,77.587678,North Indian,3.7,12,+91-993722553
1908,Curry Box,12.961797,77.603424,Chinese,3.3,6,+91-956549341
1909,Cloud Bites,12.973659,77.602293,South Indian,4.8,8,+91-969637099
1910,Madras Bowl,12.980562,77.602643,Healthy Bowls,3.1,4,+91-920100415
1911,Royal Corner,12.970996,77.588488,Chinese,,4,+91-722469732
1912,Royal Treats,12.973723,77.607454,South Indian,3.2,10,+91-963792086
1913,Green Cafe,12.959699,77.592154,Biryani,4.6,15,
1914,Wok Treats,12.984583,77.601039,Bakery & Desserts,4.5,0,+91-998562865
1915,Green Bowl,12.979338,77.595657,Chinese,3.2,15,+91-857597060
1916,Curry Plate,12.955918,77.581611,Chinese,4.1,8,+91-875110960
1917,Tandoor Corner,12.984954,77.593352,Beverages,3.1,15,+91-977339500
1918,Green Hub,12.973048,77.601262,Biryani,3.9,4,+91-882844194
1919,Bombay Hub,12.971059,77.579926,Bakery & Desserts,3.2,6,+91-767713405
1920,Fresh Kitchen,12.966937,77.590055,Chinese,4.3,15,
1921,Daily Bistro,12.972232,77.598969,Biryani,3.9,20,+91-768685777
1922,Madras Bistro,12.978339,77.59389,Chinese,,12,+91-958642195
1923,Daily Hub,12.965365,77.585535,Biryani,3.0,12,+91-811157338
1924,Royal Plate,12.979759,77.595665,Bakery & Desserts,4.7,8,+91-834196785
1925,Tandoor Bistro,12.976276,77.5815,Chinese,3.4,8,
1926,Madras Junction,12.95603,77.601069,Chinese,3.7,200,+91-987941905
1927,Urban Cafe,12.967162,77.584815,Fast Food,2.8,6,+91-739475021
1928,Namma Treats,12.96346,77.603016,Chinese,3.4,10,+91-916278290
1929,Namma Express,12.969036,77.579281,Beverages,2.9,10,+91-817367600
1930,Tandoor Junction,12.970768,77.59255,Fast Food,3.9,0,+91-972146678
1931,Urban Cafe,12.961151,77.587284,Bakery & Desserts,4.6,15,+91-825390236
1932,Fresh Corner,12.955998,77.608579,Fast Food,4.8,8,
1933,Green House,12.966767,77.607398,Italian,3.8,15,+91-814247464
1934,Daily Corner,12.969104,77.600761,Healthy Bowls,4.1,4,+91-853995738
1935,Namma Cafe,12.983067,77.581803,North Indian,4.6,10,+91-734528574
1936,Namma Bites,12.956918,77.583998,Beverages,4.4,4,+91-854995300
1937,Madras Treats,12.981076,77.594631,Fast Food,4.4,4,+91-840251937
1938,Madras Diner,12.967712,77.602954,Healthy Bowls,,15,+91-745731499
1939,Spice Treats,12.957623,77.578987,Biryani,4.6,15,+91-922263507
1940,Royal Bistro,12.968106,77.587513,Healthy Bowls,4.6,4,+91-867356745
1941,Cloud Hub,12.957197,77.594239,Bakery & Desserts,3.4,10,+91-971342391
1942,Urban Diner,12.957239,77.601888,Beverages,4.8,8,+91-827632666
1943,Curry Junction,12.977342,77.591006,Continental,4.7,20,+91-979721709
1944,Fresh Treats,12.967529,77.595161,North Indian,3.1,10,+91-979393678
1945,Bombay Hub,12.965458,77.579912,Continental,3.4,6,+91-814899615
1946,Green Box,12.962893,77.586535,Bakery & Desserts,3.3,4,+91-964297985
1947,Wok House,12.970672,77.603927,Continental,3.2,6,+91-796217855
1948,Spice Bistro,12.964599,77.581201,Continental,4.2,10,+91-716266737
1949,Fresh Junction,12.967991,77.602646,Italian,4.5,15,+91-863660910
1950,Daily Hub,12.95637,77.605603,Biryani,4.6,15,+91-771124266
1951,Namma Junction,12.957478,77.599333,South Indian,3.6,15,+91-919358752
1952,Wok Hub,12.968471,77.583811,North Indian,4.8,12,+91-720749781
1953,Namma Box,12.977133,77.596733,Chinese,4.0,10,+91-972230124
1954,Wok Kitchen,12.958494,77.602201,Continental,4.5,12,+91-937681981
1955,Cloud Hub,12.978575,77.597523,Italian,3.0,20,+91-790732507
1956,Royal Bistro,12.977755,77.582215,Healthy Bowls,3.7,4,
1957,Curry Kitchen,12.966479,77.595835,Biryani,4.1,6,+91-747303947
1958,Spice Plate,12.976678,77.586451,Chinese,4.3,20,+91-873280434
1959,Madras Hub,12.971664,77.608278,Bakery & Desserts,3.4,6,+91-716953155
1960,Green Box,12.958895,77.599416,Healthy Bowls,4.2,20,
1961,Urban Cafe,12.985663,77.603391,North Indian,4.9,10,+91-914172537
1962,Namma Hub,12.972022,77.595861,South Indian,3.6,12,+91-749726089
1963,Royal Bistro,12.982254,77.605558,North Indian,2.8,6,+91-734676025
1964,Green House,12.976131,77.593542,South Indian,2.8,12,+91-824787933
1965,Madras Express,12.961088,77.593712,North Indian,3.9,0,+91-817626061
1966,Wok Junction,12.975939,77.604343,Italian,4.7,8,+91-797370471
1967,Namma Hub,12.961484,77.586699,Beverages,3.0,4,+91-729140008
1968,Royal Bites,12.965144,77.599644,Bakery & Desserts,4.0,6,+91-983996877
1969,Madras Eats,12.984703,77.596836,North Indian,3.6,20,+91-960389714
1970,Wok Plate,12.965784,77.605623,Fast Food,,8,+91-981509657
1971,Daily Corner,12.981685,77.603873,North Indian,4.6,20,+91-729712584
1972,Fresh Cafe,12.959403,77.606577,Beverages,3.6,15,+91-940980281
1973,Daily Cafe,12.969292,77.590797,Healthy Bowls,4.8,10,+91-886094420
1974,Garden Box,12.981731,77.609569,Chinese,2.9,8,+91-885655250
1975,Madras Junction,12.975436,77.578955,South Indian,4.8,12,+91-891909431
1976,Fresh Hub,12.987129,77.607678,Chinese,4.3,20,+91-774083494
1977,Namma Cafe,12.983285,77.591394,Beverages,3.2,20,+91-733174916
1978,Daily Corner,12.957163,77.608921,Healthy Bowls,3.0,6,+91-721359892
1979,Spice Kitchen,12.960552,77.582634,North Indian,3.4,4,+91-829702370
1980,Urban Bistro,12.982482,77.60178,Fast Food,4.2,20,+91-939222844
1981,Namma Bistro,12.965217,77.579134,Healthy Bowls,3.1,15,
1982,Royal Eats,12.975213,77.592513,Bakery & Desserts,4.4,15,+91-893360580
1983,Spice Diner,12.986628,77.599367,Chinese,4.5,4,+91-723731131
1984,Wok Treats,12.975516,77.586953,Bakery & Desserts,4.8,20,+91-997112002
1985,Namma Express,12.987208,77.590441,North Indian,4.2,200,+91-767795956
1986,Tandoor Bistro,12.9739,77.609901,Fast Food,2.8,6,+91-731926720
1987,Cloud Bites,12.965776,77.60946,Beverages,3.5,10,+91-996216581
1988,Royal Kitchen,12.961026,77.594483,Italian,4.4,20,
1989,Garden Treats,12.966273,77.598504,Healthy Bowls,4.0,12,
1990,Green Eats,12.965145,77.584483,Fast Food,3.7,12,+91-969583471
1991,Garden Express,12.979593,77.595705,Italian,2.9,4,+91-719568709
1992,Wok Plate,12.980766,77.598756,Continental,4.8,4,+91-789603125
1993,Madras Bites,12.966708,77.587176,Fast Food,,20,+91-856481844
1994,Hot Bistro,12.973027,77.58113,South Indian,4.6,8,+91-843403619
1995,Madras Kitchen,12.974873,77.582343,Beverages,2.8,0,+91-951806457
1996,Namma Corner,12.965806,77.588576,North Indian,3.3,20,
1997,Fresh Junction,12.972868,77.600391,Bakery & Desserts,4.4,15,+91-784448282
1998,Cloud Plate,12.968379,77.608953,North Indian,3.9,4,+91-822152478
1999,Hot Junction,12.986666,77.590828,Healthy Bowls,3.2,6,+91-991188491
2000,Garden Kitchen,12.987135,77.588199,Continental,4.7,20,
2001,Bombay Kitchen,12.978635,77.597964,Healthy Bowls,4.9,15,
2002,Cloud Box,12.982451,77.604914,Fast Food,3.0,6,+91-823456666
2003,Namma Bowl,12.95868,77.595788,Continental,,6,+91-989725276
2004,Bombay Bistro,12.976598,77.579635,Chinese,3.5,12,+91-858769147
2005,Hot Plate,12.978357,77.588081,North Indian,4.2,15,+91-969564893
2006,Hot House,12.979623,77.587857,Healthy Bowls,4.3,12,+91-864784195
2007,Curry Bowl,12.959833,77.591638,Healthy Bowls,2.8,6,+91-781755558
2008,Bombay Eats,12.965239,77.582752,Continental,2.8,10,+91-962797325
2009,Curry Junction,12.963168,77.591279,North Indian,3.1,12,+91-811075659
2010,Spice Eats,12.975563,77.597409,Italian,4.0,6,+91-958967520
2011,Royal Express,12.959928,77.598066,Italian,3.8,8,+91-987105145
2012,Madras Kitchen,12.976377,77.584574,North Indian,3.9,4,+91-849631241
2013,Green Hub,12.976771,77.586849,Healthy Bowls,2.9,8,+91-854208322
2014,Namma Kitchen,12.962804,77.581498,Continental,4.0,10,+91-854314842
2015,Garden Express,12.96834,77.591597,Healthy Bowls,3.6,4,+91-860987459
2016,Madras House,12.955986,77.609624,Bakery & Desserts,3.5,200,+91-966586109
2017,Tandoor Bites,12.984458,77.591595,Biryani,2.9,12,+91-710586267
2018,Hot Hub,12.957771,77.585973,South Indian,4.5,8,+91-960119541
2019,Urban Bites,12.959726,77.586781,Italian,3.4,12,+91-759038710
2020,Royal Plate,12.962441,77.60036,Beverages,3.5,10,
2021,Fresh Diner,12.976176,77.595391,Bakery & Desserts,4.4,8,+91-862122549
2022,Curry Box,12.983926,77.596319,Biryani,3.8,15,+91-960231698
2023,Tandoor Bites,12.977573,77.580174,Beverages,4.5,4,
2024,Tandoor Kitchen,12.976156,77.596637,Healthy Bowls,3.8,6,+91-774298074
2025,Curry Treats,12.962406,77.600444,Bakery & Desserts,2.9,20,+91-962986889
2026,Bombay Junction,12.985513,77.607265,Healthy Bowls,4.2,8,+91-731401507
2027,Royal Hub,12.962763,77.595717,Chinese,,6,
2028,Madras Treats,12.97764,77.578604,Italian,4.5,12,+91-898562616
2029,Tandoor Box,12.957859,77.597512,Healthy Bowls,,15,+91-846068196
2030,Madras Kitchen,12.977681,77.582659,Beverages,4.0,12,+91-913953310
2031,Daily Corner,12.955721,77.605235,Italian,3.1,20,+91-927217582
2032,Curry Bites,12.971368,77.593558,South Indian,4.3,15,+91-874175195
2033,Spice Bites,12.956505,77.604285,Continental,3.3,20,+91-750833796
2034,Hot Eats,12.959929,77.587805,North Indian,4.5,8,+91-996973592
2035,Daily Bowl,12.983393,77.593744,Continental,3.8,6,+91-831461553
2036,Hot Junction,12.956041,77.57988,Italian,4.2,8,+91-865247109
2037,Bombay Corner,12.978926,77.587647,Biryani,4.2,6,+91-786602473
2038,Garden Diner,12.977341,77.602554,Fast Food,4.1,4,+91-989091461
2039,Garden Bowl,12.979283,77.60704,North Indian,4.1,20,+91-849808824
2040,Curry Treats,12.962527,77.582817,Fast Food,3.0,4,+91-797364536
2041,Urban Bowl,12.957988,77.606345,Healthy Bowls,4.8,150,+91-868644742
2042,Wok Express,12.979322,77.610207,Chinese,4.5,12,+91-995493329
2043,Bombay Plate,12.960772,77.591326,Continental,2.9,12,+91-937518599
2044,Cloud Cafe,12.970008,77.599175,North Indian,3.9,20,
2045,Curry Plate,12.977921,77.610198,Fast Food,3.6,8,+91-862534832
2046,Namma Junction,12.956384,77.600342,Beverages,4.0,20,+91-993335181
2047,Curry Junction,12.983059,77.592833,South Indian,,12,+91-863791255
2048,Royal Bowl,12.959837,77.581767,Biryani,4.2,10,+91-763498812
2049,Royal Box,12.965919,77.602651,Beverages,4.9,6,
2050,Royal Diner,12.957274,77.595361,Bakery & Desserts,4.6,8,+91-844273033
2051,Wok Corner,12.966003,77.583525,Fast Food,4.4,12,
2052,Curry Diner,12.981254,77.605262,Bakery & Desserts,4.9,4,+91-815623260
2053,Curry Junction,12.978966,77.593084,Italian,,12,+91-978812696
2054,Spice Bistro,12.976176,77.580544,Biryani,3.9,15,+91-819282918
2055,Spice Treats,12.962403,77.599975,Bakery & Desserts,4.5,10,+91-775361170
2056,Tandoor Diner,12.959918,77.587328,Fast Food,3.6,200,+91-837466847
2057,Daily Plate,12.966926,77.603242,Beverages,3.9,4,+91-986911749
2058,Royal Treats,12.963639,77.579203,Continental,,200,+91-715945184
2059,Royal Box,12.981246,77.609622,Continental,4.4,8,+91-835663744
2060,Curry House,12.98262,77.583514,Healthy Bowls,4.2,10,+91-825257708
2061,Wok Junction,12.976602,77.580734,Fast Food,4.2,150,+91-896085615
2062,Namma Bistro,12.97224,77.591286,Fast Food,3.7,6,+91-814177925
2063,Namma Junction,12.979179,77.590139,Healthy Bowls,3.1,10,+91-969519196
2064,Madras Express,12.961759,77.57868,Healthy Bowls,4.8,15,+91-972913088
2065,Daily Express,12.972908,77.583387,Bakery & Desserts,4.5,12,+91-966426269
2066,Bombay Plate,12.985291,77.586138,Chinese,3.8,10,
2067,Bombay Hub,12.960448,77.58408,Healthy Bowls,,15,+91-882766521
2068,Cloud Box,12.975686,77.592937,Continental,3.8,10,
2069,Royal Bowl,12.980914,77.592063,Italian,3.0,20,+91-970724532
2070,Urban Bowl,12.979566,77.593409,Healthy Bowls,,10,+91-791674775
2071,Tandoor Junction,12.979987,77.59867,Continental,3.4,12,
2072,Bombay Junction,12.960578,77.579141,South Indian,4.0,15,+91-790883259
2073,Hot House,12.956491,77.605791,Continental,3.9,6,+91-761937771
2074,Urban Diner,12.982715,77.603692,Chinese,2.9,20,+91-714918801
2075,Fresh Express,12.983538,77.580106,Italian,3.1,12,+91-946896581
2076,Wok Eats,12.984569,77.594964,Bakery & Desserts,4.1,10,+91-875878060
2077,Madras Eats,12.966093,77.594953,Continental,4.6,6,
2078,Urban Bistro,12.971179,77.586156,Chinese,4.2,6,+91-752720394
2079,Royal Express,12.969679,77.607562,South Indian,4.1,15,+91-845353959
2080,Namma Diner,12.957031,77.590365,Italian,3.0,4,
2081,Tandoor Box,12.985032,77.581877,Italian,4.5,20,+91-953526721
2082,Wok Bistro,12.975689,77.591193,Continental,4.4,12,+91-882172475
2083,Curry Hub,12.95731,77.606839,Fast Food,4.1,8,+91-887108752
2084,Daily Bites,12.981527,77.579392,Bakery & Desserts,3.7,8,+91-992296403
2085,Bombay Diner,12.965818,77.585596,Italian,3.5,10,+91-799839973
2086,Urban Diner,12.960314,77.592654,Bakery & Desserts,4.4,6,+91-885055974
2087,Green Hub,12.967385,77.601167,Chinese,3.3,6,+91-819257341
2088,Green Diner,12.9732,77.598659,Italian,4.5,4,+91-873208859
2089,Hot House,12.978289,77.591041,Biryani,4.0,12,+91-891840515
2090,Spice Bowl,12.959277,77.580637,North Indian,4.7,4,+91-996641627
2091,Urban Bites,12.982292,77.587774,Fast Food,4.2,10,+91-737299303
2092,Green Kitchen,12.977808,77.604548,Chinese,4.3,6,+91-937015665
2093,Tandoor Junction,12.980261,77.579517,Biryani,4.4,12,+91-925646439
2094,Madras Cafe,12.973451,77.584635,Beverages,4.4,10,
2095,Wok Bites,12.987516,77.602491,Fast Food,4.8,4,
2096,Green Treats,12.977362,77.609923,Healthy Bowls,3.0,6,+91-875528067
2097,Urban Cafe,12.967059,77.602292,Beverages,3.5,15,
2098,Curry Bites,12.965001,77.598337,Biryani,,8,+91-828805580
2099,Spice House,12.983394,77.590661,Continental,3.8,6,+91-896281310
2100,Royal Bowl,12.967805,77.598195,Healthy Bowls,4.1,10,+91-950081515
2101,Wok Eats,12.975051,77.579442,Continental,4.8,15,+91-946384571
2102,Green Box,12.980544,77.608212,Continental,3.1,12,
2103,Curry House,12.970602,77.586318,Fast Food,3.4,15,+91-887881130
2104,Urban House,12.982143,77.583362,Fast Food,4.0,12,+91-927986931
2105,Spice Treats,12.983595,77.578858,Biryani,3.7,15,+91-780912122
2106,Spice House,12.981341,77.594666,Continental,3.3,8,
2107,Bombay Diner,12.957678,77.585923,Bakery & Desserts,3.0,0,+91-983657703
2108,Cloud Junction,12.970195,77.580051,Continental,3.4,8,+91-797469400
2109,Madras Eats,12.982411,77.583169,Healthy Bowls,3.3,20,+91-736330288
2110,Tandoor Bites,12.955992,77.579664,North Indian,3.9,20,+91-712532270
2111,Tandoor Express,12.977209,77.607896,Fast Food,3.0,20,+91-952283563
2112,Fresh Treats,12.958012,77.588832,Chinese,,20,+91-779700177
2113,Tandoor Corner,12.960101,77.582942,North Indian,,8,
2114,Madras Express,12.976875,77.58011,North Indian,4.2,12,
2115,Curry Bites,12.962248,77.595694,Healthy Bowls,3.3,6,+91-938813492
2116,Green Bowl,12.960666,77.602054,Bakery & Desserts,3.5,6,+91-891793881
2117,Tandoor Corner,12.969767,77.603978,Healthy Bowls,3.7,8,+91-843221198
2118,Cloud Cafe,12.969592,77.593122,Italian,4.0,15,+91-957809882
2119,Royal Plate,12.968553,77.603381,Chinese,4.9,10,+91-875488223
2120,Tandoor Bowl,12.980049,77.591083,Italian,3.9,12,
2121,Curry Bites,12.970727,77.610364,Bakery & Desserts,4.3,6,+91-862855838
2122,Curry Bowl,12.969498,77.588769,Italian,4.3,15,+91-784013597
2123,Tandoor Corner,12.984023,77.602534,Italian,4.3,10,+91-873729405
2124,Garden Hub,12.958217,77.599111,Bakery & Desserts,4.4,12,+91-748469377
2125,Hot Junction,12.968746,77.589113,Italian,2.9,20,
2126,Curry Treats,12.973696,77.597488,Healthy Bowls,4.4,20,+91-977121355
2127,Daily Diner,12.958266,77.591197,Italian,3.0,0,+91-827555507
2128,Tandoor Bistro,12.967745,77.593689,North Indian,3.4,12,+91-712563422
2129,Hot Corner,12.97339,77.583078,Healthy Bowls,3.1,4,+91-869327130
2130,Green Eats,12.9683,77.588946,Chinese,4.9,15,+91-837530044
2131,Urban Cafe,12.984949,77.58472,Chinese,4.0,20,
2132,Namma Eats,12.968253,77.596925,South Indian,3.0,15,+91-771762245
2133,Cloud Kitchen,12.95843,77.59172,Bakery & Desserts,4.0,6,
2134,Royal Bistro,12.98619,77.582038,Healthy Bowls,,10,+91-788530951
2135,Curry Bites,12.956684,77.602739,Italian,3.4,10,+91-946726260
2136,Spice Eats,12.972671,77.581813,Healthy Bowls,4.3,4,+91-890597132
2137,Green Box,12.962528,77.580965,Continental,3.6,8,+91-913344072
2138,Wok Box,12.957122,77.58857,Chinese,2.9,12,+91-964250582
2139,Hot House,12.984911,77.610576,Healthy Bowls,3.3,6,+91-754174627
2140,Tandoor Kitchen,12.965276,77.586956,Italian,3.0,4,+91-889413716
2141,Madras Kitchen,12.95879,77.608065,South Indian,3.8,20,+91-928150476
2142,Cloud Corner,12.980646,77.581728,North Indian,3.4,150,+91-927786534
2143,Cloud Corner,12.982492,77.5933,Biryani,3.8,15,+91-873946272
2144,Madras Corner,12.982772,77.590392,Bakery & Desserts,3.0,12,+91-850488852
2145,Madras House,12.975269,77.582158,Healthy Bowls,3.2,15,+91-941872495
2146,Royal Kitchen,12.958237,77.589336,Bakery & Desserts,3.7,15,+91-855249515
2147,Daily Hub,12.960951,77.588942,Beverages,4.7,4,+91-972618567
2148,Fresh Corner,12.97428,77.597711,Continental,4.7,10,+91-739649462
2149,Urban Treats,12.986997,77.57958,Biryani,3.5,15,+91-749761155
2150,Tandoor Cafe,12.983968,77.605856,South Indian,3.6,6,+91-861376074
2151,Cloud Kitchen,12.983567,77.593845,South Indian,4.9,8,+91-878349575
2152,Garden Express,12.976345,77.609353,Fast Food,,15,
2153,Garden Junction,12.955765,77.609589,Bakery & Desserts,2.9,8,
2154,Bombay Junction,12.959938,77.583103,Chinese,4.3,4,+91-929169679
2155,Namma Express,12.973271,77.584391,Fast Food,,8,+91-891335364
2156,Spice Corner,12.974514,77.588109,South Indian,,20,+91-960066663
2157,Urban Box,12.984077,77.581857,Italian,2.9,20,+91-829544638
2158,Fresh Express,12.960871,77.59918,North Indian,3.7,4,+91-884695459
2159,Bombay Diner,12.986977,77.597761,Italian,,0,
2160,Green Box,12.984239,77.581874,Biryani,3.0,8,+91-998018173
2161,Madras Bistro,12.964004,77.593625,Beverages,4.7,6,+91-784553321
2162,Madras Bites,12.985243,77.585745,Biryani,4.7,15,+91-884935254
2163,Tandoor House,12.974326,77.582293,Italian,4.1,15,+91-764022294
2164,Garden Bowl,12.97468,77.57904,Continental,3.5,10,+91-983112591
2165,Wok Plate,12.979906,77.58457,North Indian,4.1,10,+91-979769314
2166,Spice Junction,12.975048,77.595983,South Indian,3.6,10,+91-869599673
2167,Royal Express,12.984198,77.581256,Beverages,4.7,10,+91-717863308
2168,Spice Diner,12.96008,77.585638,Fast Food,4.3,12,+91-846151981
2169,Bombay Eats,12.965241,77.603364,Chinese,4.6,4,+91-943625868
2170,Spice Bistro,12.961171,77.588247,North Indian,3.8,6,+91-890577960
2171,Royal Cafe,12.959056,77.595706,Fast Food,4.0,4,+91-812006059
2172,Bombay Kitchen,12.960789,77.583865,Italian,3.2,15,+91-858162197
2173,Urban Bowl,12.961401,77.585712,Continental,3.1,10,+91-991215263
2174,Wok Plate,12.969523,77.584482,Healthy Bowls,3.7,4,+91-913549093
2175,Namma Box,12.965265,77.591633,Chinese,3.6,6,+91-973731819
2176,Madras Bites,12.98307,77.605295,Chinese,4.4,6,+91-950543196
2177,Royal Kitchen,12.972612,77.608604,Chinese,3.7,15,+91-938406702
2178,Fresh Cafe,12.967557,77.585822,South Indian,2.8,0,+91-755847650
2179,Tandoor Eats,12.969369,77.590657,Biryani,4.3,8,+91-890490654
2180,Fresh Treats,12.965491,77.601867,Chinese,3.4,20,+91-741451618
2181,Cloud Cafe,12.958251,77.590922,Beverages,3.9,4,+91-842891778
2182,Urban Treats,12.969806,77.603636,Fast Food,3.5,15,+91-770580480
2183,Madras Plate,12.986769,77.592293,Bakery & Desserts,3.5,15,+91-913557133
2184,Urban Eats,12.98068,77.583724,Biryani,2.9,15,
2185,Urban Junction,12.959825,77.580816,Beverages,4.2,0,+91-894907623
2186,Tandoor Express,12.969282,77.58933,Italian,3.1,8,
2187,Green Hub,12.9818,77.595138,Continental,3.3,10,+91-835845654
2188,Hot Bites,12.95629,77.579525,Beverages,4.4,6,+91-942653792
2189,Tandoor Corner,12.978097,77.580941,Bakery & Desserts,4.2,12,+91-881856498
2190,Cloud Diner,12.978435,77.581905,Italian,3.8,8,+91-980302293
2191,Daily Corner,12.960063,77.581616,North Indian,4.5,6,+91-839572055
2192,Daily Express,12.983488,77.590402,Beverages,3.4,8,+91-862647157
2193,Fresh Cafe,12.965648,77.602644,Bakery & Desserts,3.7,8,+91-748651896
2194,Spice Corner,12.978261,77.605175,Bakery & Desserts,3.5,10,+91-881649701
2195,Tandoor Eats,12.985322,77.60608,North Indian,4.4,20,+91-741060001
2196,Fresh Cafe,12.97927,77.601069,Healthy Bowls,3.3,8,+91-868664720
2197,Wok Kitchen,12.983398,77.599616,Chinese,3.2,10,+91-799674912
2198,Wok Bowl,12.978958,77.5788,Beverages,3.8,6,+91-716971209
2199,Cloud Treats,12.970287,77.585116,Continental,3.4,12,+91-942616985
2200,Wok Express,12.961778,77.599243,North Indian,4.3,8,+91-869762729
2201,Cloud Bites,12.955976,77.584908,Chinese,4.4,20,
2202,Garden Express,12.98723,77.606865,North Indian,4.6,15,+91-962035978
2203,Garden Diner,12.981747,77.603344,Italian,4.4,10,+91-732331898
2204,Fresh Junction,12.985632,77.600723,Beverages,4.1,200,+91-891415077
2205,Wok Box,12.984955,77.607101,Healthy Bowls,4.0,8,+91-925263861
2206,Fresh Bowl,12.983347,77.583258,South Indian,4.8,8,+91-920394529
2207,Madras House,12.959065,77.589218,Beverages,4.7,15,
2208,Namma Plate,12.983689,77.585536,Continental,4.4,15,
2209,Urban Bowl,12.964619,77.587302,Bakery & Desserts,3.9,4,+91-797849551
2210,Curry Cafe,12.958897,77.595082,Fast Food,3.5,4,
2211,Royal Junction,12.98511,77.595122,Fast Food,3.8,20,
2212,Wok Cafe,12.985269,77.57979,South Indian,4.1,15,+91-968509729
2213,Wok Junction,12.958589,77.590306,Bakery & Desserts,3.9,10,+91-868859940
2214,Namma Bites,12.967,77.602147,Italian,2.9,20,
2215,Royal Bites,12.986629,77.595762,Fast Food,3.9,12,+91-759609223
2216,Curry Treats,12.963501,77.609059,Healthy Bowls,3.9,8,
2217,Bombay Bowl,12.97058,77.603457,Continental,,15,+91-883558429
2218,Spice Eats,12.971116,77.606408,Italian,,20,+91-833994037
2219,Fresh Diner,12.970928,77.590896,Italian,2.9,8,+91-979505854
2220,Urban Bites,12.96746,77.588194,North Indian,3.8,200,
2221,Bombay Bistro,12.978706,77.578855,Italian,4.3,6,+91-725563032
2222,Green Express,12.959468,77.602919,Biryani,4.3,15,
2223,Wok House,12.974881,77.578876,Chinese,,20,
2224,Curry Box,12.965047,77.587889,North Indian,4.2,20,+91-993086620
2225,Wok Junction,12.982295,77.603679,South Indian,4.0,10,+91-863520789
2226,Green Kitchen,12.968484,77.593168,Healthy Bowls,4.2,12,+91-912344166
2227,Tandoor Box,12.97528,77.590333,Fast Food,4.9,10,+91-736882569
2228,Garden House,12.98623,77.584434,Healthy Bowls,,8,
2229,Bombay Hub,12.95628,77.600785,Italian,4.4,8,
2230,Hot Plate,12.984652,77.58912,South Indian,,10,+91-977634912
2231,Namma Treats,12.956646,77.591442,Italian,4.6,8,+91-939616088
2232,Hot Bites,12.965797,77.594843,Biryani,3.0,6,+91-943842880
2233,Hot Diner,12.967901,77.60965,Bakery & Desserts,3.6,8,+91-922296926
2234,Hot Express,12.985757,77.608991,Bakery & Desserts,3.1,12,+91-732340031
2235,Tandoor Corner,12.987232,77.594538,North Indian,,4,+91-983296885
2236,Green Hub,12.968116,77.580188,Bakery & Desserts,3.5,0,+91-837980569
2237,Urban Junction,12.981965,77.594456,Italian,4.6,15,+91-897973637
2238,Hot Bistro,12.984706,77.590804,Italian,3.0,4,
2239,Urban Diner,12.981864,77.597437,Beverages,4.3,20,+91-933285456
2240,Curry Bowl,12.972455,77.610037,Fast Food,,12,+91-716787706
2241,Wok Corner,12.975492,77.585964,Italian,3.7,4,+91-713319545
2242,Tandoor Express,12.971979,77.604545,Bakery & Desserts,3.5,20,+91-744418071
2243,Garden Bowl,12.980211,77.605698,Italian,,20,+91-783615758
2244,Hot Bites,12.9859,77.600179,North Indian,3.7,6,+91-922705652
2245,Hot Corner,12.973446,77.610198,Chinese,4.1,10,+91-923937948
2246,Bombay Plate,12.968577,77.594146,South Indian,3.8,20,+91-964917470
2247,Namma Box,12.985259,77.592438,Biryani,,15,+91-971725422
2248,Tandoor Express,12.985178,77.584101,Bakery & Desserts,3.7,150,+91-821492429
2249,Royal Express,12.985987,77.610264,Chinese,4.1,15,+91-849115599
2250,Royal Treats,12.974185,77.586339,Continental,3.5,12,+91-776572741
2251,Garden Bites,12.967766,77.579398,Continental,4.4,4,+91-826750164
2252,Daily Junction,12.980343,77.5821,Biryani,4.0,12,+91-863214873
2253,Namma Cafe,12.966829,77.58157,South Indian,4.6,8,+91-815850133
2254,Green Corner,12.95574,77.597911,Healthy Bowls,3.2,10,+91-816682630
2255,Daily Express,12.975647,77.599162,Healthy Bowls,3.1,15,
2256,Cloud Kitchen,12.9762,77.591126,Beverages,4.0,4,+91-931750109
2257,Fresh Bites,12.962866,77.584649,South Indian,2.8,200,+91-928267234
2258,Wok Junction,12.981596,77.603736,Bakery & Desserts,4.3,12,+91-795235819
2259,Daily Bowl,12.964825,77.579396,Beverages,4.2,20,+91-790203348
2260,Daily Box,12.967359,77.591656,Beverages,4.3,12,+91-843977489
2261,Royal Plate,12.985672,77.585604,South Indian,4.2,12,+91-736659217
2262,Namma Bites,12.97692,77.606523,Fast Food,4.6,15,+91-894554626
2263,Bombay Bites,12.960721,77.591928,Bakery & Desserts,4.5,12,+91-873453077
2264,Wok Diner,12.967277,77.593672,Healthy Bowls,3.1,15,+91-797084206
2265,Hot Junction,12.963658,77.586403,Healthy Bowls,4.6,4,+91-817995804
